match no,runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
49,12,0,16,20,2,0,60,2,Netherlands,Delhi,09-Mar-11
50,1,0,2,3,0,0,33.33,1,South Africa,Nagpur,12-Mar-11
51,59,0,128,76,5,0,77.63,1,West Indies,Chennai,20-Mar-11
52,24,0,38,33,1,0,72.72,2,Australia,Ahmedabad,24-Mar-11
53,9,0,20,21,0,0,42.85,1,Pakistan,Mohali,30-Mar-11
54,35,0,69,49,4,0,71.42,2,Sri Lanka,Mumbai,02-Apr-11
55,2,0,5,8,0,0,25,2,West Indies,Port of Spain,06-Jun-11
56,81,0,118,103,6,1,78.64,2,West Indies,Port of Spain,08-Jun-11
57,0,0,1,1,0,0,0,2,West Indies,North Sound,11-Jun-11
58,22,0,68,33,1,0,66.66,2,West Indies,North Sound,13-Jun-11
59,94,0,135,104,10,0,90.38,1,West Indies,Kingston,16-Jun-11
60,55,0,92,73,4,0,75.34,1,England,Chester-le-Street,03-Sep-11
61,9,0,9,9,0,0,100,1,England,Southampton,06-Sep-11
62,7,0,18,18,0,0,38.88,1,England,The Oval,09-Sep-11
63,16,0,40,36,1,0,44.44,1,England,Lord's,11-Sep-11
64,107,0,102,93,9,1,115.05,1,England,Cardiff,16-Sep-11
65,37,0,70,63,0,0,58.73,1,England,Hyderabad (Deccan),14-Oct-11
66,112,1,134,98,16,0,114.28,2,England,Delhi,17-Oct-11
67,35,0,42,30,5,0,116.66,2,England,Mohali,20-Oct-11
68,86,1,-,99,11,0,86.86,2,England,Mumbai,23-Oct-11
69,0,0,5,5,0,0,0,1,England,Kolkata,25-Oct-11
70,3,0,13,6,0,0,50,2,West Indies,Cuttack,29-Nov-11
71,117,0,154,123,14,0,95.12,2,West Indies,Visakhapatnam,02-Dec-11
72,20,0,21,30,3,0,66.66,2,West Indies,Ahmedabad,05-Dec-11
73,23,1,15,11,3,0,209.09,1,West Indies,Indore,08-Dec-11
74,80,0,99,85,5,0,94.11,1,West Indies,Chennai,11-Dec-11
75,31,0,30,34,3,0,91.17,2,Australia,Melbourne,05-Feb-12
76,77,0,156,94,8,1,81.91,2,Sri Lanka,Perth,08-Feb-12
77,18,0,41,28,1,0,64.28,2,Australia,Adelaide,12-Feb-12
78,15,0,32,25,1,0,60,2,Sri Lanka,Adelaide,14-Feb-12
79,12,0,44,25,0,0,48,2,Australia,Brisbane,19-Feb-12
80,66,0,116,83,2,0,79.51,2,Sri Lanka,Brisbane,21-Feb-12
81,21,0,36,27,2,0,77.77,2,Australia,Sydney,26-Feb-12
82,133,1,133,86,16,2,154.65,2,Sri Lanka,Hobart,28-Feb-12
83,108,0,148,120,7,0,90,1,Sri Lanka,Dhaka,13-Mar-12
84,66,0,126,82,5,0,80.48,1,Bangladesh,Dhaka,16-Mar-12
85,183,0,211,148,22,1,123.64,2,Pakistan,Dhaka,18-Mar-12
86,106,0,158,113,9,0,93.8,1,Sri Lanka,Hambantota,21-Jul-12
87,1,0,6,5,0,0,20,1,Sri Lanka,Hambantota,24-Jul-12
88,38,0,80,65,2,0,58.46,2,Sri Lanka,Colombo (RPS),28-Jul-12
89,128,1,187,119,12,1,107.56,2,Sri Lanka,Colombo (RPS),31-Jul-12
90,23,0,42,35,2,0,65.71,1,Sri Lanka,Pallekele,04-Aug-12
91,0,0,9,5,0,0,0,1,Pakistan,Chennai,30-Dec-12
92,6,0,12,9,1,0,66.66,2,Pakistan,Kolkata,03-Jan-13
93,7,0,25,17,1,0,41.17,1,Pakistan,Delhi,06-Jan-13
94,15,0,45,22,1,0,68.18,2,England,Rajkot,11-Jan-13
95,37,0,86,54,1,1,68.51,1,England,Kochi,15-Jan-13
96,77,1,110,79,9,2,97.46,2,England,Ranchi,19-Jan-13
97,26,0,44,33,3,0,78.78,2,England,Mohali,23-Jan-13
98,0,0,1,1,0,0,0,1,England,Dharamsala,27-Jan-13
99,31,0,46,41,2,0,75.6,1,South Africa,Cardiff,06-Jun-13
100,22,0,18,18,4,0,122.22,2,West Indies,The Oval,11-Jun-13
101,22,1,36,27,3,0,81.48,2,Pakistan,Birmingham,15-Jun-13
102,58,1,80,64,4,1,90.62,2,Sri Lanka,Cardiff,20-Jun-13
103,43,0,66,34,4,1,126.47,1,England,Birmingham,23-Jun-13
104,11,0,19,21,0,1,52.38,1,West Indies,Kingston,30-Jun-13
105,2,0,6,5,0,0,40,2,Sri Lanka,Kingston,02-Jul-13
106,102,0,120,83,13,2,122.89,1,West Indies,Port of Spain,05-Jul-13
107,31,0,62,52,4,0,59.61,1,Sri Lanka,Port of Spain,09-Jul-13
108,2,0,8,5,0,0,40,2,Sri Lanka,Port of Spain,11-Jul-13
109,115,0,133,108,13,1,106.48,2,Zimbabwe,Harare,24-Jul-13
110,14,0,35,18,2,0,77.77,1,Zimbabwe,Harare,26-Jul-13
